Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_447.jpg;-15;1;0;3.452792;105.8236;91.64067;359.7515;29.59185;358.6281
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_521.jpg;-15;1;0;3.462855;106.0712;91.77371;-0.0008778394;26.997;358.7993
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_580.jpg;-15;1;0;3.520091;106.2646;91.86279;0.1169692;24.59369;358.8865
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_649.jpg;-10.89836;1;0;3.546215;106.4611;91.94458;0.103343;22.3646;358.9524
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_713.jpg;-6.792342;1;0;3.606494;106.6624;92.02069;0.067596;20.71138;358.9443
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_785.jpg;-2.707843;1;0;3.645229;106.9362;92.11923;0.02778463;19.43792;358.9439
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_852.jpg;1.278618;1;0;3.695902;107.1452;92.19327;0.02994552;19.0942;358.989
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_914.jpg;5.739625;1;0;3.733;107.3567;92.27003;0.08619123;19.35439;359.098
G:\RoboND\IMG\robocam_2018_07_23_18_58_54_987.jpg;9.05001;1;0;3.767573;107.641;92.38053;0.2463794;20.6298;359.4039
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_050.jpg;13.44462;1;0;3.810562;107.8542;92.47191;0.4195015;22.23192;359.7912
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_113.jpg;15;1;0;3.838287;108.0656;92.57258;0.6307841;24.37835;0.3395719
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_179.jpg;13.08863;1;0;3.868037;108.3427;92.71378;0.7397706;27.37682;0.98991
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_244.jpg;9.077044;1;0;3.893537;108.5469;92.82297;0.633913;29.30751;1.338877
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_310.jpg;5.159727;1;0;3.919687;108.7486;92.93293;0.3575209;30.57672;1.448427
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_377.jpg;1.171465;1;0;3.935596;109.0172;93.08148;359.8547;31.33229;1.15212
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_448.jpg;0;1;0;3.990979;109.224;93.20298;359.7898;31.63436;0.8647162
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_513.jpg;0;1;0;4.061499;109.433;93.33039;359.852;31.75772;0.6501248
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_579.jpg;0;1;0;4.09723;109.7149;93.50475;0.03782693;31.80391;0.4188997
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_646.jpg;0;1;0;4.132845;109.9292;93.63778;0.2424734;31.81216;0.2613062
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_712.jpg;0;1;0;4.180327;110.1459;93.77244;0.4890458;31.81348;0.1148717
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_780.jpg;0;1;0;4.21598;110.4376;93.95422;0.8311933;31.81957;359.9576
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_846.jpg;0;1;0;4.252174;110.6579;94.0925;1.071773;31.84809;359.9044
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_912.jpg;0;1;0;4.300607;110.8796;94.23213;1.295702;31.88768;359.8877
G:\RoboND\IMG\robocam_2018_07_23_18_58_55_980.jpg;0;1;0;4.3347;111.1755;94.42019;1.465426;31.93308;-0.004653628
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_045.jpg;2.88085;1;0;4.375384;111.3994;94.56059;1.508035;32.0528;-0.003570757
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_112.jpg;5.880704;1;0;4.426655;111.6234;94.70301;1.489234;32.48957;-0.00572638
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_178.jpg;8.88431;1;0;4.461916;111.9206;94.89954;1.416902;33.69581;0.04539442
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_246.jpg;8.773607;1;0;4.49576;112.1414;95.05279;1.313428;34.96166;0.1494682
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_311.jpg;5.856687;1;0;4.54373;112.3608;95.20975;1.151547;36.14706;0.2561124
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_377.jpg;2.876335;1;0;4.579273;112.6528;95.42503;0.9233615;37.20544;0.427159
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_445.jpg;0;1;0;4.614926;112.8727;95.58965;0.7535062;37.56968;0.5325838
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_511.jpg;0;1;0;4.661961;113.0938;95.75691;0.6158506;37.68237;0.6242755
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_577.jpg;0;1;0;4.69636;113.3914;95.98349;0.4913838;37.70363;0.708217
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_644.jpg;0;1;0;4.730567;113.6168;96.15566;0.4421313;37.68938;0.7336188
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_710.jpg;0;1;0;4.77592;113.8443;96.32973;0.4353739;37.67072;0.7327325
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_777.jpg;0;1;0;4.809711;114.1509;96.56454;0.4888448;37.64248;0.6933404
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_844.jpg;0;1;0;4.843419;114.3833;96.74236;0.5639032;37.61707;0.6316984
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_910.jpg;0;1;0;4.888392;114.6177;96.92172;0.6673958;37.59199;0.5513027
G:\RoboND\IMG\robocam_2018_07_23_18_58_56_978.jpg;0;1;0;4.921858;114.9333;97.16303;0.8421937;37.55322;0.4215337
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_044.jpg;0;1;0;4.955241;115.1723;97.34548;0.9928148;37.51928;0.3105185
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_110.jpg;0;1;0;4.999622;115.4133;97.5292;1.160004;37.48379;0.1934721
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_179.jpg;0;1;0;5.015311;115.7359;97.7746;1.402273;37.43428;0.02696528
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_244.jpg;0;1;0;5.000737;115.9763;97.95892;1.523962;37.43643;359.9916
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_310.jpg;0;1;0;5.020931;116.2137;98.14082;1.422366;37.48066;-0.004589113
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_378.jpg;0;1;0;5.013591;116.5318;98.38329;1.344449;37.442;-0.001552535
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_445.jpg;0;1;0;5.00678;116.7707;98.5649;1.310423;37.43135;-0.001832304
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_513.jpg;0;1;0;4.980071;117.0099;98.7465;1.297342;37.43582;-0.001580046
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_577.jpg;0;1;0;5.00903;117.3297;98.98914;1.315817;37.39688;-0.001422495
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_644.jpg;0;1;0;5.020829;117.5699;99.17123;1.345032;37.37183;-0.001464785
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_711.jpg;0;1;0;5.008415;117.8104;99.35341;1.388781;37.3402;-0.001451361
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_776.jpg;0;1;0;5.021913;118.0508;99.53529;1.433495;37.30644;-0.001365238
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_844.jpg;-1.510309;1;0;5.014239;118.3723;99.77773;1.506826;37.20762;-0.001337258
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_910.jpg;-4.500599;1;0;5.005788;118.6135;99.95724;1.476617;36.84806;0.0001190876
G:\RoboND\IMG\robocam_2018_07_23_18_58_57_977.jpg;-7.492169;1;0;5.007315;118.9362;100.1913;1.387624;35.8775;-0.0001766762
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_044.jpg;-10.51558;1;0;5.014169;119.1826;100.3631;1.354504;34.77622;359.9479
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_110.jpg;-13.52085;1;0;5.025482;119.4322;100.5284;1.291645;33.24696;359.7835
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_176.jpg;-13.5006;1;0;5.009921;119.6826;100.6871;1.06417;31.30415;359.6452
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_243.jpg;-10.50985;1;0;5.010946;120.0225;100.8858;0.6700262;28.88522;359.3251
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_309.jpg;-7.507084;1;0;5.011528;120.2803;101.0271;0.3077668;27.424;359.0554
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_375.jpg;-4.535976;1;0;5.010737;120.5404;101.163;359.9249;26.35494;358.7812
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_443.jpg;-1.535926;1;0;5.003732;120.8936;101.3455;359.7675;25.75935;358.7436
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_509.jpg;0;1;0;5.009974;121.1641;101.484;359.9392;25.69764;358.9583
G:\RoboND\IMG\robocam_2018_07_23_18_58_58_575.jpg;0;1;0;5.011577;121.437;101.6188;0.1537479;25.60446;359.1209
